Date : 2025-07-08 17:33:40
Directory : c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb
Total : 353 files,  14635 codes, 147 comments, 1562 blanks, all 16344 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Step_rings.md                                                                | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Vertical_insulated_water_tanks.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Anaerobic_treatment_reactors.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Automatic_clarifiers.md                                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\BS_type_air_flotation_units.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Belt_conveyors.md                                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Belt_filter_presses.md                                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Biological_contact_oxidation_towers.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Buried_FRP_packaged_sewage_plants.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Buried_steel_packaged_sewage_plants.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Cable_drive_sludge_scrapers.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Cable_operated_trash_rakes.md                                                | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Cavitation_air_flotation_units.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Center_drive_clarifier_scrapers.md                                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Chamber_plate_and_frame_filter_presses.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Curved_bar_screens.md                                                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Decanter_centrifuges.md                                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Dissolved_air_flotation_DAF_clarifiers.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Emulsion_wastewater_treatment_skids.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Full_bridge_peripheral_drive_sludge_scrapers_circular_clarifiers.md          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\General_purpose_mixing_agitators.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Grit_classifiers_sand_water_separators.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\High_speed_clarifier_mixers.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Horizontal_screw_discharge_settling_centrifuges.md                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\In_line_grinder_screens_comminutors.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Inclined_tube_settlers.md                                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Integrated_air_flotation_units.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Lamella_plate_clarifiers.md                                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Land_based_oil_water_separators.md                                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Low_speed_propeller_mixers_axial_flow.md                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\MBR_membrane_bioreactor_packages.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Mechanical_bar_screens.md                                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Radial_flow_clarifier_peripheral_drive_scraper_with_direct_discharge.md      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Rotary_drum_fine_screens.md                                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Rotary_shear_flotation_cells.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Screw_press_compactors.md                                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Shaftless_screw_conveyors.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Shallow_tank_high_efficiency_DAF_units.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Siphon_suction_sludge_collectors.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Slaughterhouse_wastewater_systems.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Submersible_mixers.md                                                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Suction_type_sludge_collectors_for_rectangular_tanks.md                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Surface_oil_skimmers.md                                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Surface_skimmers_scum_skimmers.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Traveling_bridge_sludge_scrapers.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Traveling_chain_rotary_bar_screens.md                                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Up_flow_clarifiers.md                                                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water\Vortex_flow_grit_chambers.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Activated_carbon_filters.md                                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\All_in_one_water_conditioning_devices.md                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Ambient_temperature_deaerators.md                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Anion_and_cation_exchange_units.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Automatic_pneumatic_booster_pump_systems.md                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Blow_down_back_flush_filters.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\CO2_stripping_degassing_towers.md                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Cartridge_precision_polishing_filters.md                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Continuous_sand_filters.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\EDL_electro_deionization_units.md                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fiber_ball_filters.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fiber_bundle_filters.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fluoride_removal_skids.md                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fountain_equipment_various_styles.md                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fully_automatic_back_wash_filters.md                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fully_automatic_water_purifiers.md                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Fully_automatic_water_softening_systems.md                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Guard_security_filters.md                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\High_efficiency_pressure_filters.md                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\High_rate_medium_rate_filters.md                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\High_voltage_electrostatic_water_conditioners.md                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Ion_exchange_vessels.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Iron_and_manganese_removal_filters.md                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Israeli_ARKAL_disc_filters.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\JM_automatic_softeners.md                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\KG_L_series_water_purifiers.md                                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Large_scale_desalination_turn_key_plants.md                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Manual_brush_type_filters.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Mixed_bed_anion_cation_floating_bed_exchangers.md                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\water_supply\Modular_softening_skids.md                                            | Markdown   |         11 |          0 |          0 |         11 |
